Ticker,Market Cap,Outstanding,Float,Insider Own,Insider Trans,Inst Own,Inst Trans,Float Short,Short Ratio,Avg Volume,Price,Change,Volume
FNKO,654780000.0,35480000.0,18790000.0,0.005,0.0,0.772,0.0033,0.126,3.42,691770.0,13.61,-0.0173,353124.0
FNLC,304850000.0,10860000.0,10320000.0,0.057999999999999996,0.0,0.409,0.0242,0.01,6.34,16329.999999999998,27.05,0.0484,34443.0
FNWB,173060000.0,9260000.0,8109999.999999999,0.021,0.018000000000000002,0.5539999999999999,-0.0005,0.0217,7.69,22850.0,17.22,0.025,20975.0
FNX,,,,,,,,,,52130.0,91.23,-0.0078000000000000005,31229.0
FNY,,,,,,,,,,55260.0,67.8,-0.027999999999999997,205312.0
FOCS,3780000000.0,50740000.0,33460000.0,0.0002,-0.9967,0.983,0.0757,0.0892,8.49,351370.0,47.31,0.0414,1904762.0
FOLD,2700000000.0,259160000.00000003,234320000.0,0.01,-0.20170000000000002,,0.0087,0.13269999999999998,7.88,3950000.0,10.66,-0.045700000000000005,4791734.0
FONR,133440000.0,6470000.0,5970000.0,0.0316,0.0,0.611,-0.0337,0.0151,2.46,36710.0,19.74,-0.013000000000000001,30640.0
FORD,36200000.0,9890000.0,6370000.0,0.042,-0.084,0.14300000000000002,0.0137,0.0285,0.34,541350.0,3.69,-0.023799999999999998,143379.0
FOREU,,,,,,,,,0.0,1330000.0,10.06,-0.002,1084264.0
FORM,3390000000.0,77420000.0,76760000.0,0.006,-0.3678,0.9309999999999999,0.0137,0.0194,3.2,464790.0,44.07,-0.026699999999999998,432455.0
FORR,889210000.0,18870000.0,11030000.0,0.34,-0.012,0.599,0.015,0.037200000000000004,10.18,40300.0,46.58,0.0253,35646.0
FORTY,1340000000.0,15290000.0,8870000.0,0.6890000000000001,0.0,0.002,0.0321,0.0001,0.19,2940.0,83.6,-0.0024,5655.0
FOSL,865430000.0,51300000.0,43970000.0,0.071,-0.0286,0.9,-0.0334,0.0908,2.55,1570000.0,16.08,-0.0225,472288.0
FOX,21770000000.0,586910000.0,481250000.0,0.397,-0.0003,0.6003000000000001,,0.0039000000000000003,1.1,1710000.0,37.09,0.0288,2928002.0
FOXA,22650000000.0,595000000.0,481310000.0,0.016200000000000003,0.0,,-0.0078000000000000005,0.038599999999999995,3.32,5610000.0,39.33,0.0364,13434429.0
FOXF,5470000000.0,41740000.0,41540000.0,0.003,-0.3461,,0.0147,0.052199999999999996,9.0,241130.0,127.27,-0.0104,399614.0
FOXW,,,,,,,,,,357260.0,9.95,0.004,126582.0
FOXWU,,,,,,,,,0.02,186940.0,10.47,-0.008,129315.0
FPAY,59900000.0,21360000.0,14650000.0,0.001,,0.248,-0.0024,0.0026,0.07,545920.0,2.73,-0.0109,256356.0
FPRX,969030000.0,35520000.0,28000000.0,0.008,-0.9481999999999999,0.915,0.46509999999999996,0.0922,2.79,925650.0,21.26,-0.0471,711266.0
FPXI,,,,,,,,,,252470.0,69.73,-0.0191,231078.0
FRBA,236290000.0,19540000.0,15800000.0,0.054000000000000006,,0.442,0.0296,0.011000000000000001,4.25,40820.0,11.64,0.046799999999999994,61702.0
FRBK,235440000.0,58850000.0,47630000.0,0.015,0.0268,0.774,0.1222,0.1182,15.28,368340.0,3.88,0.043,414691.0
FREE,532929999.99999994,38430000.0,35220000.0,0.031,0.0040999999999999995,0.618,-0.12240000000000001,0.0484,3.9,437700.0,13.33,-0.017,173660.0
FREQ,1540000000.0,33070000.0,26290000.0,0.024,-0.36,0.634,0.0964,0.1495,13.66,287680.0,45.24,-0.0415,263893.0
